trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,3,14.002747355019523,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,4,-78.26198352013945,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,6,-114.87558922701322,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 2}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-89.8657943464781,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,14,-0.3781031348362567,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-42.96764960054322,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-28.929223538357633,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,8,-43.013210075467505,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,10,17.361509976226525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,8,-33.89375632269328,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,12,-1.4024290152061192,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,11,-9.720113129605563,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,4,-29.24836972039512,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,1,-12.280463173269315,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,2,-10.129923492565627,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-74.52629160107193,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",30,10,-37.76708466150884,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,13,-32.71822535361998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,17,-7.84466180866326,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,7,-33.84952170949958,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-30.877880239116134,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
